Stream,Canopy,Invert.rich,Invert.den,Insect.bio,Peri.rich,Peri.Biovol,Peri.Biovol.ln,Chla,CFpct.den,CGpct.den,PRpct.den,SCpct.den,SHpct.den,CFpct.bio,CGpct.bio,PRpct.bio,SCpct.bio,SHpct.bio
Camp-E,Closed,25,3554,727,16,1785449109,21.30,1.57,25.14,40.43,5.15,1.70,26.80,42.88,11.01,12.46,20.90,12.73
Camp-E,Open,27,5763,568,28,5274559941,22.39,5.71,6.16,84.80,5.79,0.23,0.96,6.30,45.35,21.89,17.71,8.21
Clear,Closed,22,686,142,7,35989925,17.40,0.17,22.16,50.60,5.49,0.39,19.61,18.85,22.58,26.46,21.35,9.22
Clear,Open,21,1235,211,16,128359262,18.67,0.32,14.27,74.09,5.34,0.11,5.88,13.60,39.22,31.19,0.01,16.04
Forsyth,Closed,21,4697,677,11,553417937,20.13,9.4,0.69,19.79,1.66,0.17,74.48,3.53,12.69,23.12,2.02,44.32
Forsyth,Open,19,5631,1278,10,3223022649,21.89,20.98,0.00,71.83,8.41,0.36,18.83,0.00,12.40,74.50,4.50,7.13
Geo-W,Closed,27,3859,266,10,362622,12.80,1.15,8.79,52.58,3.80,0.73,32.43,21.21,19.98,17.02,14.02,37.55
Geo-W,Open,26,4018,298,4,118935,11.69,0.61,2.55,59.07,2.95,0.30,34.32,7.10,33.14,10.43,12.35,37.37
Redrock,Closed,20,14456,493,1,1716,7.45,4.46,7.45,82.80,1.94,0.15,7.07,14.86,32.00,29.55,13.26,10.25
Redrock,Open,18,10614,1144,7,7148777,15.78,21.44,3.25,74.64,3.96,0.41,17.65,4.85,37.17,42.74,1.09,14.14
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
