stream,site,SH2,FH2,log.SH2,log.FH2,SH2.TS,SH2.lnTS,SH2.TSloss,SH2.TSloss-d,SH2.Tsloss-DD,SH2.k,SH2.kDD,FH2.TS,FH2.lnTS,FH2.TSloss,FH2.TSloss-d,FH2.Tsloss-DD,FH2.k,FH2.kDD,dummy
Camp-E,Open,64.8,67.5,1.811575006,1.829303773,6.6122,1.888916428,11.15768966,0.371922989,0.183726159,-0.003943573,-0.001948085,6.8878,1.929751731,7.454695084,0.257058451,7.454695084,-0.002671444,-0.077471878,1
Camp-E,Open,71,62.1,1.851258349,1.7930916,7.2449,1.980297773,2.656656758,0.088555225,0.043745377,-0.000897528,-0.00044337,6.3367,1.846358128,14.85934062,0.512391056,14.85934062,-0.005547086,-0.160865481,1
Camp-E,Open,64.1,73.2,1.80685803,1.864511081,6.5408,1.878059482,12.1170286,0.403900953,0.199522948,-0.004305471,-0.002126859,7.4694,2.010814675,-0.359752104,0,-0.359752104,0.00012383,0.003591065,1
Camp-E,Open,65,66.6,1.812913357,1.823474229,6.6327,1.892011961,10.88224921,0.36274164,0.179190667,-0.003840388,-0.001897113,6.7959,1.916319489,8.68947448,0.299637051,8.68947448,-0.003134625,-0.09090412,1
Camp-E,Open,67.9,69,1.831869774,1.838849091,6.9286,1.935657773,6.906501402,0.230216713,0.113724706,-0.002385528,-0.001178426,7.040818657,1.95172445,5.3987181,0.186162693,5.3987181,-0.001913764,-0.055499159,1
Camp-E,Open,51.6,74.5,1.712649702,1.872156273,5.2653,1.661138124,29.25479921,0.975159974,0.481719072,-0.011536183,-0.005698757,7.602,2.028411371,-2.141381569,0,-2.141381569,0.000730612,0.021187761,1
Camp-E,Open,62.1,71.7,1.7930916,1.855519156,6.3367,1.846358128,14.85934062,0.495311354,0.244678752,-0.005362183,-0.002648864,7.3163,1.990104736,1.697317815,0.058528201,1.697317815,-0.000590306,-0.017118873,1
Camp-E,Open,65.8,76.2,NA,1.881954971,6.7143,1.90423958,9.785861843,0.326195395,0.161137195,-0.003432801,-0.001695769,7.7755,2.050977765,-4.472548328,0,-4.472548328,0.001508764,0.043754155,1
Camp-E,Open,73.8,63.9,1.868056362,1.805500858,7.5306,2.01897472,-1.182042626,0,-0.0194639,0.000391704,0.000193498,6.5204,1.874935724,12.39112544,0.427280188,12.39112544,-0.004561651,-0.132287885,1
Camp-E,Open,66.8,67.3,1.824776462,1.828015064,6.8163,1.919316803,8.415377639,0.280512588,0.138570355,-0.002930227,-0.001447502,6.8673,1.926771016,7.730135537,0.266556398,7.730135537,-0.002774227,-0.080452593,1
Camp-E,Closed,66.8,70.1,1.824776462,1.845718018,6.8163,1.919316803,8.415377639,0.280512588,0.065119381,-0.002930227,-0.000680235,7.1531,1.967545829,3.890092541,0.134141122,3.890092541,-0.001368199,-0.03967778,2
Camp-E,Closed,72.4,67.9,1.859738566,1.831869774,7.3878,1.999829991,0.73663526,0.024554509,0.005700188,-0.000246454,-5.72E-05,6.9286,1.935657773,6.906501402,0.238155221,6.906501402,-0.002467787,-0.071565837,2
Camp-E,Closed,66.8,62.2,1.824776462,1.793790385,6.8163,1.919316803,8.415377639,0.280512588,0.065119381,-0.002930227,-0.000680235,6.3469,1.847966505,14.7222922,0.507665248,14.7222922,-0.005491624,-0.159257104,2
Camp-E,Closed,67.3,69.1,1.828015064,1.839478047,6.8673,1.926771016,7.730135537,0.257671185,0.059816881,-0.002681753,-0.000622554,7.051,1.953169451,5.261920357,0.18144553,5.261920357,-0.001863936,-0.054054158,2
Camp-E,Closed,65.8,75.4,1.818225894,1.877371346,6.7143,1.90423958,9.785861843,0.326195395,0.075724382,-0.003432801,-0.000796905,7.6939,2.040427807,-3.376160965,0,-3.376160965,0.001144972,0.033204198,2
Camp-E,Closed,64.4,74,1.808885867,1.86923172,6.5714,1.8827269,11.70588334,0.390196111,0.090581779,-0.00414989,-0.000963373,7.551,2.021680005,-1.456139467,0,-1.456139467,0.000498496,0.014456396,2
Camp-E,Closed,68,65,1.832508913,1.812913357,6.9388,1.937128849,6.769452982,0.225648433,0.052382984,-0.002336492,-0.000542403,6.6327,1.892011961,10.88224921,0.375249973,10.88224921,-0.003972815,-0.115211648,2
Camp-E,Closed,70,72.5,1.84509804,1.860338007,7.1429,1.966118856,4.027140962,0.134238032,0.031162586,-0.001370158,-0.000318074,7.398,2.001209693,0.599586839,0.020675408,0.599586839,-0.000207376,-0.006013916,2
Camp-E,Closed,65.4,45.6,1.815577748,1.658964843,6.6735,1.89814446,10.33405552,0.344468517,0.079966382,-0.003635972,-0.00084407,4.6531,1.537533664,37.48039166,1.292427299,37.48039166,-0.016196205,-0.469689945,2
Camp-E,Closed,66.7,61.7,1.824125834,1.790285164,6.8061,1.917819269,8.552426059,0.285080869,0.066179881,-0.002980145,-0.000691823,6.2959,1.839898628,15.4075343,0.531294286,15.4075343,-0.005769827,-0.167324981,2
Geo-W,Open,60.9,66.9,1.784617293,1.825426118,6.2143,1.826853088,16.50392167,0.550130722,0.032602915,-0.006012351,-0.000356316,6.8265,1.920812097,8.278329219,0.285459628,0.015158166,-0.002979707,-0.000158225,3
