stream,site,harvest,Harvest #,Peak load (lbf),Tensile strength (ksi),TSloss,TSloss.d,dummy
Camp-E,Open,Riparian,RIPFH2,51.3,5.2347,29.66594448,1.022963603,2
Camp-E,Open,Riparian,RIPFH2,57.5,5.8673,21.16625519,0.729870868,2
Camp-E,Open,Riparian,RIPFH2,58.4,5.9592,19.93147579,0.687292269,2
Camp-E,Open,Riparian,RIPFH2,60.8,6.2041,16.64097009,0.573826555,2
Camp-E,Open,Riparian,RIPFH2,61.7,6.2959,15.4075343,0.531294286,2
Camp-E,Closed,Riparian,RIPFH2,37.5,3.8265,48.58668816,1.67540304,1
Camp-E,Closed,Riparian,RIPFH2,38.1,3.8878,47.76305403,1.647001863,1
Camp-E,Closed,Riparian,RIPFH2,45,4.5918,38.3040258,1.320828476,1
Camp-E,Closed,Riparian,RIPFH2,53.3,5.4388,26.92363245,0.928401119,1
Camp-E,Closed,Riparian,RIPFH2,53.5,5.4592,26.64953561,0.918949504,1
Geo-W,Open,Riparian,RIPFH2,50.1,5.1122,31.31186913,1.079719625,8
Geo-W,Open,Riparian,RIPFH2,55.2,5.6327,24.31836886,0.838564443,8
Geo-W,Open,Riparian,RIPFH2,55.7,5.6837,23.63312675,0.814935405,8
Geo-W,Open,Riparian,RIPFH2,58.5,5.9694,19.79442737,0.682566461,8
Geo-W,Open,Riparian,RIPFH2,59.4,6.0612,18.56099159,0.640034193,8
Geo-W,Closed,Riparian,RIPFH2,42,4.2857,42.41682202,1.462649035,7
Geo-W,Closed,Riparian,RIPFH2,42.9,4.3776,41.18204263,1.420070435,7
Geo-W,Closed,Riparian,RIPFH2,48.9,4.1795,43.84373793,1.511853032,7
Geo-W,Closed,Riparian,RIPFH2,50.8,5.1837,30.35118658,1.046592641,7
Geo-W,Closed,Riparian,RIPFH2,56.6,5.7755,22.39969097,0.772403137,7
Clear,Open,Riparian,RIPFH2,46.1,4.7041,36.79514956,1.268798261,4
Clear,Open,Riparian,RIPFH2,53.1,5.4184,27.1977293,0.937852734,4
Clear,Open,Riparian,RIPFH2,56.2,5.7347,22.94788465,0.791306367,4
Clear,Open,Riparian,RIPFH2,59.7,6.0918,18.14984632,0.62585677,4
Clear,Open,Riparian,RIPFH2,67.1,6.8469,8.004232378,0.276008013,4
Clear,Closed,Riparian,RIPFH2,27.9,2.8469,61.74871097,2.129265896,3
Clear,Closed,Riparian,RIPFH2,18.1,1.8469,75.18483062,2.592580366,3
Clear,Closed,Riparian,RIPFH2,18.9,1.9286,74.08709965,2.554727574,3
Clear,Closed,Riparian,RIPFH2,30.7,3.1327,57.90866798,1.99685062,3
Clear,Closed,Riparian,RIPFH2,41.9,4.2755,42.55387044,1.467374843,3
Forsyth,Open,Riparian,RIPFH2,40.3,4.1122,44.74798878,1.543034096,6
Forsyth,Open,Riparian,RIPFH2,48.8,4.9796,33.0934986,1.141155124,6
Forsyth,Open,Riparian,RIPFH2,55,5.6122,24.59380931,0.84806239,6
Forsyth,Open,Riparian,RIPFH2,60.4,6.1633,17.18916377,0.592729785,6
Forsyth,Open,Riparian,RIPFH2,60.5,6.1735,17.05211535,0.588003978,6
Forsyth,Closed,Riparian,RIPFH2,19.5,1.9898,73.26480912,2.526372728,5
Forsyth,Closed,Riparian,RIPFH2,56.1,5.7245,23.08493307,0.796032175,5
Forsyth,Closed,Riparian,RIPFH2,57.2,5.8367,21.57740045,0.744048291,5
Forsyth,Closed,Riparian,RIPFH2,64.7,6.602,11.29473808,0.389473727,5
Forsyth,Closed,Riparian,RIPFH2,66.5,6.7857,8.8265229,0.304362859,5
RedRock,Open,Riparian,RIPFH2,49.3,5.0306,32.4082565,1.117526086,10
RedRock,Open,Riparian,RIPFH2,51,5.2041,30.07708974,1.037141025,10
RedRock,Open,Riparian,RIPFH2,54.5,5.5612,25.27905141,0.871691428,10
RedRock,Open,Riparian,RIPFH2,54.9,5.602,24.73085773,0.852788198,10
RedRock,Open,Riparian,RIPFH2,56.2,5.7347,22.94788465,0.791306367,10
RedRock,Closed,Riparian,RIPFH2,52.4,5.3469,28.15841185,0.970979719,9
RedRock,Closed,Riparian,RIPFH2,63.6,6.4898,12.8022707,0.44145761,9
RedRock,Closed,Riparian,RIPFH2,63.7,6.5,12.66522228,0.436731803,9
RedRock,Closed,Riparian,RIPFH2,64.2,6.551,11.97998018,0.413102765,9
RedRock,Closed,Riparian,RIPFH2,69.9,7.1327,4.164189382,0.143592737,9
